NAME
PTX3
APOC3
ITM2B
F5
SRGN
SQSTM1
PLEKHB2
NDFIP1
CYR61
TIMP3
PRSS23
SERPINE1
TIMP2
APP
ICAM1
MMP1
MFGE8
SLC38A2
PSAP
CD81
QSOX1
SERPINF1
IGFBP7
BRD9
CST3
LDLR
APLP2
MMP14
SDCBP
F13A1
CLSTN1
AGRN
HBA2; HBA1
NRP1
CTGF
DNAJB2
FN1
THBS1
LGALS3BP
IGFBP4
UGCG
AKR1C1
TNIP1
FTH1
RNF149
COL6A1
FAT1
HSPA1B; HSPA1A
MARCKSL1
FDFT1
SMARCB1
AGTRAP
SERINC3
PLAU
SOD2
GRN
MSMO1
PTTG1IP
APOE
SERPINC1
NDRG1
UPP1
PLAT
PTPRF
CD63
FBLN1
TAX1BP1
SPARC
ALB
TFPI
LOXL2
TNFRSF10B
AFP
TMEM185A
LGALS8
MAP1LC3B2
ATP6V0A1
TIMP1
KIAA1429; VIRMA
IL6ST
SEMA4B
NCOA4
LTF
AHSG
SLC6A6
CRIM1
PDCD4
PXDN
SLC20A1
A2M
KNG1
SERINC1
NPC1
B2M
JAG1
HSPA13
ITIH2
HIST2H2AA4; HIST2H2AA3
KDELR1
CPVL
C4A; C4B
AKR1C4
SERPINE2
RPS27A
CALCOCO2
GABARAP
C3
JAGN1
TGFBR2
MLPH
POR
IDI1
RRAGA
SEL1L
MDN1
FLCN
MGST1
PZP
RCL1
SPINT2
MGST3
PSEN1
DCP1A
ATP6V0D1
KIAA1033; WASHC4
TFPI2
ANTXR2
IREB2
ITGA2
TMEM38B
PLP2
GSN
SLC38A1
CD82
OXA1L
YIF1A
NEU1
CSGALNACT2
CD320
H2AFX
PODXL
HLA-A; LOC100507703
TSPAN14
CDCP1
RAB22A
TMEM59
DHCR7
UGDH
CD9
MT2A
BTN2A1
CNIH4
SLC7A11
LRRC8A
NBR1
HSPA5
GBA
SLC39A14
SQRDL; SQOR
PLIN2
OPTN
RAB7A
ATP6V0C
MT1F
SLC39A7
TPBG
COL13A1
RAB7L1; RAB29
RAB9A
ME2
IFIT1
FOXRED1
CDYL
TOMM7
ANXA4
DHRS7
TEX264
IKBKB
OSTC
CHMP1B
STEAP3
HMGCS1
TMEM205
STOM
LAMB3
STX3
GNAI3
ZFYVE1
PPIF
ATP5J2
ACTR8
HIST1H4A; HIST1H4F; HIST1H4D; HIST1H4J; HIST2H4A; HIST2H4B; HIST1H4H; HIST1H4C; HIST4H4; HIST1H4E; HIST1H4I; HIST1H4B; HIST1H4K; HIST1H4L
ATP5I
KEAP1
UAP1L1
PLAUR
MTCH1
YIPF3
EIF2D
ABHD17B; FAM108B1
PTDSS1
CD46
SLC3A2
DOCK9
DHX37
GABARAPL2
NFYC
TMEM109
RRAGC
LMAN2L
PTRH2
SSR3
STX6
SCAMP4
ATR
TGFB2
PGRMC2
ARL8B
DNTTIP1
YIPF5
AK4; LOC100507855
CCRN4L; NOCT
ITGA5
LRRC8C
DDX51
ALG2
APOB
PTPRE
FAM162A
PRAF2
OCIAD2
MB21D1; CGAS
ACSL5
CSTF2
KDSR
ERLEC1
ATP2B1
SCARB1
RAB10
ACOT8
HDHD3
WIZ
H2AFZ
NUSAP1
ITGAV
ZNF451
VDAC1
EMC8
TMEM33
HMGCL
MYADM
SLC25A12
THEM6
AXL
ESAM
SPCS1
ATP5C1
GOLM1
ATP5G2
SCO1
HSD17B11
TMEM30A
TMEM87B
FUT8
DAG1
SLC25A22
CYB5R3
BCAP31
HIST1H3F; HIST1H3C; HIST1H3D; HIST1H3G; HIST1H3H; HIST1H3B; HIST1H3A; HIST1H3E; HIST1H3I; HIST1H3J
LAMP1
SLC25A13
NDUFA5
EBP
SLC25A11
RALA
HM13
CLPTM1L
TRIM32
IFITM3
SRXN1
BRAP
AKR1C3
HSD17B4
ANXA5
ATP5F1
VDAC2
