drug1,drug2,drug3
10.8,12.7,10
57.1,46.775,58.3
2667.83333333333,2702.725,2743.93333333333
93.6333333333333,81.7,91.4
74.6333333333333,84.225,79.5333333333333
13339.4,13542.35,12602.3
285.366666666667,277.15,287.933333333333
10.8,12.3,14
29.8333333333333,36.875,28
41.3666666666667,35.6,39.6333333333333
28.2333333333333,24.375,30.7666666666667
340.533333333333,328.05,343.9
6682.66666666667,6783.9,6444.23333333333
25.2,22.425,29.6666666666667
77.7333333333333,59.925,75
257.033333333333,259.55,234.733333333333
827.733333333333,865.05,726.966666666667
23.0333333333333,19.3,23.0666666666667
355.033333333333,382.125,328.133333333333
11.1,11.2,14.5
29,28.6,26.15
1238.9,1244.425,1293.43333333333
891.233333333333,883.775,904
17.4,18.6,19.2
17.1,16,15.4
33.45,42.3666666666667,28.35
1668.26666666667,1723.8,1665.43333333333
3330.76666666667,3244.475,3196.76666666667
12.35,13.4,9.75
789.033333333333,723.1,704.4
198.1,195.8,197.833333333333
3496.96666666667,3502,3907.73333333333
27.65,25.4666666666667,24.35
735.466666666667,740.05,736.6
278.666666666667,291.95,298.333333333333
64.1666666666667,57.1,59.1666666666667
801.033333333333,803.35,745.7
14.2,11.6,10.5
16.7,18.4666666666667,16.65
172.4,166.725,156.566666666667
361.033333333333,302.15,362.366666666667
12.9,11.4,12.9
72.1333333333333,64.225,44
12.6,12.9,9.1
9.5,11.3,12.4
16.5,14.8,13.9
19.1,20.9,21.1
1558.56666666667,1582.975,1494.83333333333
27.2,22.3,23.9333333333333
20.3,16.9333333333333,21.45
205.066666666667,207.025,205.733333333333
61.2666666666667,49.475,57.6333333333333
27.25,27.7,23.65
450.866666666667,430.375,383.7
66.9,75.25,80.8333333333333
12.9,18.6,16.7
5183.03333333333,5154.05,5097.2
905.4,877.525,870.966666666667
5795.7,5943.025,5567.83333333333
536.933333333333,526.375,484.1
130.966666666667,102.675,109.3
337.833333333333,336.125,324.333333333333
3408.8,3521.5,3645.96666666667
9.4,8.6,11.3
15.2,12,9.3
50.9,30,27.7
306.566666666667,296.7,308.333333333333
39,47.15,32.6333333333333
2469.36666666667,2397.125,2435.36666666667
502.033333333333,509.25,479.533333333333
63.6666666666667,58.875,60.7666666666667
1793.96666666667,1816.275,1917.66666666667
74.6,70.85,67.4333333333333
239.633333333333,253.575,242.4
31.8666666666667,33.175,37.8666666666667
1688.03333333333,1603.45,1598.1
107.166666666667,114.825,105.733333333333
97.7666666666667,84.05,87.3666666666667
209.1,211.45,195.7
16.4,18.75,19.2
930.933333333333,917.025,986.833333333333
168.05,200.566666666667,199.2
92.9,75.95,73.9333333333333
112.6,102.725,98.8666666666667
101.433333333333,99.4,100.2
58.8666666666667,70.225,63.2
30.9,28.85,31.45
606.1,603.2,503.6
18.7,15.6,16.7
48,48.1,44.45
55.7,71.975,67.7666666666667
146.5,154.475,143.166666666667
23.8666666666667,27.575,23.7333333333333
726.333333333333,702.575,675.433333333333
757.366666666667,797.8,831.433333333333
18.4,11.4,12.6
11.5,12.15,13.9
86.3333333333333,75.9,79.1666666666667
118.466666666667,112.625,132.633333333333
1299.03333333333,1188.75,1278.36666666667
11.2,9.1,10.8
686.5,656.5,681.7
159.733333333333,139.575,137.5
61.6,62.3,61.3333333333333
12.8,11.4,14.8
14.6,12,7.9
292,309.4,291.233333333333
188.566666666667,188.725,175.033333333333
23.1,23.1,21.3
65.6,62.8,62.7
176.466666666667,157.35,173.233333333333
585.466666666667,600.7,586.633333333333
22.4,27.1,22.2
180.6,146.075,212.133333333333
571.633333333333,563.1,722.2
221.1,209.075,198.633333333333
37.2,34.1,32.1666666666667
66.5666666666667,61.675,75.4
25.9,22.85,24.45
98.8,83.025,112.3
206.2,210.275,197.7
16.25,17.8333333333333,20.75
650.733333333333,621.825,678.066666666667
521.033333333333,489.425,492.066666666667
30.9333333333333,36.05,33.6333333333333
466.566666666667,439.075,427.4
627.7,622.95,602.6
270.833333333333,277.05,284.5
134.3,112.375,110.2
115.066666666667,103.5,120.9
23.9,24.3,29
13.35,11.1,13.05
21.2666666666667,24.4,23.2333333333333
56.7,48.9,58.6
231.666666666667,237.6,216.366666666667
1251.06666666667,1230.675,1182.66666666667
337.466666666667,321.925,341.666666666667
26.8,27.7,24.1
6933,7112.975,6214.2
18.9333333333333,20.75,19.1333333333333
306.4,259.425,294.333333333333
73.3666666666667,87.375,66.1666666666667
34.15,32.0333333333333,35.25
76.7,71.3,76.8666666666667
484.333333333333,457.775,468.566666666667
798.633333333333,799.325,799.566666666667
1154.13333333333,1082.85,1218.13333333333
338.2,323.2,340.766666666667
48.7,41.125,44.2666666666667
25.35,22.1666666666667,23.55
40.9,38.8,35.5
123.966666666667,131.45,105.966666666667
43.7,61.925,49.5
51,39.775,50.5
37.8,32.775,31.1
63.2333333333333,63.1,61.1333333333333
290.866666666667,286.5,680.566666666667
1137.86666666667,1116.775,1105.93333333333
3893.6,3582.675,4214.83333333333
30.8,33,35.1
11,13.2,7.7
37.95,35.7,35.85
131.366666666667,121.925,154.766666666667
16.1,16.8,41.8
1415.56666666667,1385.575,1394.23333333333
37.05,32.8,35.5
108.633333333333,111.4,135.833333333333
36,29.6333333333333,35.95
1393.23333333333,1236.725,1359.16666666667
1209.76666666667,1157.65,1147.73333333333
20.1,20.2,18.4
17.9,17,16.2
87.1333333333333,66.1,70.5333333333333
257.933333333333,253.35,282.666666666667
24.7,33.4,26.1
87.0333333333333,75.4,91.0666666666667
23.1,15.9,14.3
15.0666666666667,17.075,15.2333333333333
526.866666666667,522.25,564.1
145.866666666667,158.175,146.166666666667
335.3,302.55,376.233333333333
60.2666666666667,65.575,44.4333333333333
33.9,31.6,26.55
38.2666666666667,30.525,30.2333333333333
14057.7333333333,13921.025,13445.6333333333
51,64,57
1176.5,1149.425,1151.36666666667
785.1,794.125,780.633333333333
57.5,56.525,55.5
10.3,9.3,15
2253,2271.025,2248.46666666667
694.633333333333,677.45,681.633333333333
38.7333333333333,35.875,37.8
109.5,112.375,97.6333333333333
48.4333333333333,51.175,43.9666666666667
339.9,336.1,340.8
213.666666666667,212.4,195.766666666667
51.0333333333333,40.85,49.9666666666667
374.566666666667,428,432.333333333333
25.5,28.3,23.85
102.4,93.675,102.166666666667
40.7666666666667,41.4,36.0666666666667
18.8,15.45,14.0666666666667
21.55,23.1666666666667,23.4
26.7,25.375,29.0666666666667
316.033333333333,342.8,324.4
894.1,860.975,823.233333333333
24.85,18.3333333333333,18.1
1436.2,1468.125,1321.16666666667
331.733333333333,300.875,372.2
21.2,28.5,25.1
1138.46666666667,1048.1,1051.4
414.6,400.275,431.566666666667
37.8333333333333,42.925,39.2333333333333
34.8333333333333,25.4,21.1
67.9666666666667,54.35,116.366666666667
209.133333333333,218.4,235.8
6.6,10.4,11.1
96.6,94.1,97.1
13.8,11.7,11
7799.73333333333,7707.35,7396.76666666667
57.0666666666667,56.65,52.2333333333333
116.933333333333,106.625,119.433333333333
298.533333333333,298.475,348.033333333333
31.1,30.35,30.1
569.933333333333,528.375,564.766666666667
74.45,65.95,64.25
13,10.9,9.6
60.9,61.725,54
683.266666666667,648.575,697.266666666667
182.6,176.025,167.266666666667
310.166666666667,294.275,300.533333333333
53.7333333333333,48.375,53.8333333333333
47.9,50.3,51.8
12.4,9.3,12.6
57.0333333333333,51.175,49.3
118.1,108.75,124.166666666667
12.1,11.7,12.5
706,694.375,736.066666666667
976.1,941.5,964.166666666667
14.3,12.9,11.2
67.4,59.85,83.5
889.366666666667,938.525,903.633333333333
43,38.2,41.05
13,10,10
147.533333333333,156.8,142.6
25.95,22.7,10.1
146.266666666667,151.525,180.4
12.0666666666667,12.65,15.2
32.3333333333333,33.65,27.5666666666667
10.4,11.9333333333333,12.85
115.5,112.3,119.733333333333
1438.53333333333,1416.1,1483.13333333333
21.3,19.8,23.6
2277.96666666667,2300.15,2235.46666666667
460.033333333333,455.3,424.133333333333
42.4,40.7,42.7
105.9,106.725,102.333333333333
658.566666666667,603.125,636.833333333333
11.2,11.9,6.9
216.666666666667,211.425,186.833333333333
14.1,13.7333333333333,13.9
18.95,20.3333333333333,24.8
52.7,52.6,49.7
45.3666666666667,54.85,85.4333333333333
349.1,357.575,360.7
113.8,96.35,101.8
15.65,20.15,18.85
507.666666666667,543.1,509.1
184.4,166.7,180.933333333333
360.3,375.1,363.333333333333
28.7,27.7,25.6
61.0666666666667,56.6,55.8666666666667
215.166666666667,207.925,212.2
437.9,386.725,410.133333333333
26.5666666666667,29.375,25.5666666666667
49.7,50.175,66.4333333333333
13.3,15.2,11.2
344.4,365.85,281.9
45.1,49.2,62.9333333333333
565.866666666667,488.075,551.8
831.633333333333,814.5,872.933333333333
475.733333333333,462.45,488.3
21.8,19.8,21.5
87.7,85,76.8333333333333
487.133333333333,529.075,698.033333333333
258.566666666667,319.625,262.5
29.4,29.1,29.9
76.3666666666667,61.9,77.1333333333333
34.1,40.375,35.6333333333333
923.2,944.7,928.033333333333
307,284.375,249.2
32.3,47.3,24.2333333333333
3389.2,3469.875,3711
564.3,577.025,553.8
63.5,68.8,62.3
25,22.55,25.8
15.7,13,11.1
26.8666666666667,29.375,22.5
18.1,21.9666666666667,18.2
56.3,51.45,54.8666666666667
98.1,80.7,103.133333333333
103.8,97.075,99.4666666666667
456.533333333333,417.225,382.633333333333
200.8,215.9,184.133333333333
27.5333333333333,33.3,25.6333333333333
238.966666666667,237.625,234.9
47.8,39.675,52.5
178.466666666667,173.375,163.333333333333
18.5,17.45,17.9333333333333
176.633333333333,194.5,171.366666666667
222.1,248.95,223.233333333333
235.7,260.3,210.933333333333
376.533333333333,392.25,384.233333333333
457.3,466.15,444.866666666667
388.633333333333,376.55,393.533333333333
29.75,27.8,29.6
36.95,32.95,29.85
102.2,97.8,94.45
27.1,25.7,73.6
50.5,52.8,49.5
32.2,35,23.3
154.3,132.95,111.466666666667
112.2,110.125,95.5666666666667
27.5,30.5,26.4
139.066666666667,110.675,126.766666666667
203.7,178.9,210.5
32.3666666666667,36,24.3666666666667
170.2,178.35,190.833333333333
12.6,10.8,15.1
30.3333333333333,31.475,34
218.4,216.875,222.966666666667
22.45,21.35,18.5
714.166666666667,703.475,764.833333333333
90.8333333333333,91.375,90.0666666666667
88.2,76.85,80.0333333333333
300,305.6,298.5
114.466666666667,123.4,106.2
107.2,108.25,130
13,10.9,16.9
80.4666666666667,91,73.2
114.333333333333,122.65,136.033333333333
90,64.4,108.8
54.7,56.85,55.65
89.5666666666667,87.725,99.9333333333333
885.933333333333,975.35,857.833333333333
111.933333333333,98.9,113
19.65,21.25,25.35
17.3,13.2,15.8
41.9333333333333,51.425,42.2
112.466666666667,116.05,100.333333333333
383.233333333333,352.35,355.366666666667
51,58.5333333333333,50.6
34.7666666666667,30.625,31.6666666666667
40.8666666666667,33.525,36.9
179.7,160.325,138.433333333333
17.3,12.8333333333333,15
182.266666666667,178,191.066666666667
1839.3,1830.9,1693.13333333333
43.8333333333333,40.75,41.6666666666667
2952.2,2900.45,2699.33333333333
192.766666666667,190.65,261
43.9,36.3,35.3666666666667
2881.13333333333,2752.9,2937.56666666667
1505.13333333333,1493.825,1462.26666666667
44.6333333333333,35.975,38.9666666666667
14.7,13.8,17.7
10.7,10.7,10.2
110.333333333333,118.9,107.666666666667
17.75,20.1,14.25
101.366666666667,85.85,92.6666666666667
185.333333333333,201.5,180.033333333333
38.2,37.475,47.7
192.266666666667,207.975,196.466666666667
22.5,18.1,18.75
48.4,50.7,50.95
37.7,38.4,42.1
12.55,14.3333333333333,11.9
2886.26666666667,2805.8,2841.96666666667
253.633333333333,253.8,230.6
14.6,12.2,10.9
4418.23333333333,4515.825,4135.7
628.2,641.25,726.833333333333
8.4,11.4,14.7
14,12.3,14.7
82.3333333333333,81.875,80.6
368.4,364.65,380.5
84.7666666666667,90.575,96.3333333333333
1243.3,1202.35,1134.3
48.8666666666667,45.15,46.4333333333333
16.9666666666667,20.95,18.7333333333333
1885,1817.275,1744.03333333333
96.4666666666667,104.6,107.966666666667
276.233333333333,278.05,260.933333333333
16.3,12.8,11.6
576.666666666667,576.925,538.366666666667
64.4666666666667,68.725,69.5333333333333
112.066666666667,105.4,106.6
66.3333333333333,67.3,62.0666666666667
13,13.4,15.6
14.55,12.8333333333333,9.6
48.8333333333333,44.15,54.5666666666667
26.7,28.6,21.75
868.6,904.95,876.5
495.166666666667,460.05,496.533333333333
58.8666666666667,47.125,51.4333333333333
197.366666666667,204.675,207.133333333333
125.933333333333,102.975,115.266666666667
145.466666666667,156.425,156.2
83.7666666666667,94.8,78.9
356.233333333333,334.45,309.1
824.133333333333,820.95,798.666666666667
15,14.2,18.1
29.7,31.225,31.0666666666667
41.65,41.1,135.6
2491.83333333333,2417.025,2273.63333333333
17,16.85,16.2
15.8,16.9,12.8
51.9333333333333,40.9,48
112.933333333333,95.175,111.433333333333
67.5,63.8,63.6
14.2,15.3,15.4
10.4,11.9,11
25.4,27.25,22.2333333333333
15.6,11.1,15.4
135.5,150.1,125.833333333333
17.85,22.6333333333333,18.2
32.55,30.3,32.5
46.4333333333333,39.825,42.8
81.8666666666667,71.625,142.4
810.266666666667,833.675,732.866666666667
172,184.2,167.35
476.133333333333,444.875,462.5
49.5,50.75,48.1333333333333
63.4,57.425,49.9
35.9666666666667,31.45,36.3
26.8,27.8333333333333,62.35
12.3,14.3,10.9
1251.5,1298.075,1387.7
754.366666666667,793.625,700.566666666667
51.5666666666667,51.9,45.9333333333333
40.9333333333333,37.875,38.6666666666667
49.1,42.975,49.8333333333333
491.366666666667,487.25,453.266666666667
413.8,390.525,400.2
304.266666666667,248.75,315.166666666667
262.766666666667,254.475,275.033333333333
241.733333333333,204.325,205.066666666667
80.1666666666667,69.5,103.966666666667
55,66.55,52
52.4666666666667,45.625,62.5333333333333
42.8,42.8,43.3
22.6666666666667,21.85,21.8666666666667
171.2,161.725,179.433333333333
458.866666666667,393.25,645.3
2819.66666666667,2824.475,2908.93333333333
793.466666666667,735.85,784.833333333333
13.8,10.4,14.8
22.15,19.6,12.9
173.1,209,165
1298.06666666667,1222.425,1308
33.5,35.6,37.2
15.1,12.45,12.05
666.933333333333,692.725,678.566666666667
6688.6,6438.1,6722.7
13.3,9.7,21.3
2155.36666666667,2187.475,2160.56666666667
12.1,11.2,8.9
13.3,13.6,10.5
19.4,20.6,18.8
47.3,38.325,26.7333333333333
21.8,22.8,18.2
1952.96666666667,1929.5,1839.16666666667
93.6666666666667,85.25,88.2333333333333
284.433333333333,246.45,250.3
26.7,30.9,26.1
36.05,23.7333333333333,27.45
16.1,18,39
26.0666666666667,34.175,25.7
629,594.3,543.966666666667
132.466666666667,144.625,129.7
18.85,16.9666666666667,17.15
4736.4,4812.525,4559.93333333333
112.3,108.425,119.166666666667
71.5,70.05,81.6
129.566666666667,96.775,101.066666666667
1467.8,1367.9,1383.9
732.133333333333,705.15,674.933333333333
492.766666666667,505,471.966666666667
221.533333333333,236.075,226.933333333333
190.9,192.2,192.733333333333
69.6666666666667,65.925,69.1
58.3666666666667,60.75,42.0333333333333
14.45,17.1,12.5
30.7,32.05,26.95
102.766666666667,100.325,99.0666666666667
379.866666666667,361.225,365.433333333333
36.5,53.7,37.9
4875.83333333333,4939.025,4644.83333333333
459.666666666667,431.5,391
41.3,45,44.1
287.9,261.95,302.6
734.133333333333,751.925,705.8
32.1666666666667,37.175,29.9666666666667
604.6,560.5,637.133333333333
44.3666666666667,48.65,50.9666666666667
11.4,10.4,10.7
259.766666666667,243.525,248.766666666667
3139.6,3151.925,2853.4
9378.63333333333,9072.55,8958.06666666667
466.5,475.3,514.2
400.533333333333,362.6,391.466666666667
12.1,9.9,9
17.1,17.7,19.3
28.4,34.175,30.4
128.266666666667,110.225,124.266666666667
967.133333333333,926.025,949.166666666667
72.3666666666667,71.525,70.6
3564.23333333333,3883.6,4674.46666666667
39.2,41.025,43.8
312.566666666667,323.675,266.733333333333
39.9,40.1,34.5333333333333
66.3666666666667,92.075,57.1666666666667
55.1,55.25,52.2
49.0666666666667,47.375,47.6333333333333
40.35,41.05,39
48,41.475,51.9333333333333
802.1,854.9,824.866666666667
34.3,33.7,32.5
38.95,45.3666666666667,37.1
1594.36666666667,1562.4,1617.53333333333
34.2,34,35.8
51.9666666666667,45.6,48.3333333333333
25.9333333333333,24.175,22.1666666666667
21.8,25.4666666666667,31.4
49.1666666666667,56.7,62.3
12,13.7,11.75
136.366666666667,144.8,137.033333333333
18.1,17.5,16.7
168.666666666667,157.625,165.666666666667
493.433333333333,417.8,458.6
132.866666666667,122.225,126.833333333333
24.8,22.25,27.15
14.45,12.8,13.35
23.3,16.2,14.3
10.8,11.7,9.8
172.4,162.5,154.933333333333
25.4,25.1,25.2
123.733333333333,153.475,182.666666666667
64.2333333333333,64.875,73.9666666666667
91.5,90.1,92.8
22.3666666666667,25.05,30.8
140,133.3,121.4
83.8333333333333,73.225,63.7333333333333
28.1,29,29.2
27.3,29.95,26.85
14.1,8.9,11
256.2,259.725,242.766666666667
403.433333333333,403.05,380.533333333333
145.066666666667,157.7,151.733333333333
19.65,16.9333333333333,15.85
7.3,14,10.6
171.933333333333,178.3,146.7
2950.46666666667,2893.975,2862.56666666667
386.466666666667,357.4,400.533333333333
1377.63333333333,1374.95,1386.66666666667
36.1,42.4,41.9
241.733333333333,262.4,257.366666666667
270.333333333333,289.65,256.933333333333
266.133333333333,258.1,314.333333333333
34.8,34.25,32.05
99.6333333333333,80.825,90.8666666666667
110,96.225,95.3666666666667
36.75,33.8,35.05
20.5,18.85,20.7
40.8,36.8333333333333,27.7
1001.23333333333,1044.525,933.833333333333
25.15,19.6333333333333,22
